City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
3,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
6,Kavieng,PG,84.24,light rain,-2.5744,150.7967,Nusa Island Retreat
7,Rikitea,PF,77.58,clear sky,-23.1203,-134.9692,People ThankYou
9,Rojhan,PK,79.16,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
15,Saint George,US,77.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
20,Touros,BR,80.28,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
24,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
26,Kavaratti,IN,83.32,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
35,Atuona,PF,79.18,few clouds,-9.8,-139.0333,Villa Enata
38,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
41,Arlit,NE,80.58,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
46,Merauke,ID,83.3,overcast clouds,-8.4667,140.3333,
53,Jaque,PA,80.62,light rain,7.5175,-78.1703,Aventuras Jaque S.A
54,Les Trois-Ilets,MQ,78.71,broken clouds,14.539,-61.0361,La Pagerie - Tropical Garden Hotel
57,Ngama,TD,83.97,overcast clouds,11.7833,17.1667,
59,Atambua,ID,82.04,broken clouds,-9.1061,124.8925,Kost Alfa Flat
63,Sabang,ID,82.85,overcast clouds,5.8933,95.3214,Hotel Citra
67,Butaritari,KI,81.77,light rain,3.0707,172.7902,Isles Sunset Lodge
71,Wagga Wagga,AU,75.85,clear sky,-35.1167,147.3667,The Club Motel and Apartments
78,Mitsamiouli,KM,81.9,light rain,-11.3847,43.2844,Foyer ADM
79,Sorong,ID,84.61,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
80,Aloleng,PH,83.71,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
82,Puerto Ayora,EC,76.08,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
88,Cabo San Lucas,MX,79.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
92,Dhidhdhoo,MV,84.33,overcast clouds,6.8833,73.1,Dhidhoo beach
94,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,Buala,SB,83.37,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
102,Jacqueville,CI,80.55,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
103,Ler,SS,77.0,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
104,Diffa,NE,83.86,few clouds,13.3154,12.6113,ProDAF/Diffa
