City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Souillac,MU,-20.5167,57.5167,75.58,94,40,14.97,light rain
1,Iqaluit,CA,63.7506,-68.5145,2.93,78,20,12.66,few clouds
2,Ushuaia,AR,-54.8,-68.3,44.26,76,40,24.16,scattered clouds
3,Grand Gaube,MU,-20.0064,57.6608,76.37,84,54,10.0,light rain
4,Dikson,RU,73.5069,80.5464,17.26,96,100,5.23,light snow
5,Bluff,NZ,-46.6,168.3333,53.8,65,28,35.21,scattered clouds
6,Kavieng,PG,-2.5744,150.7967,84.24,72,16,9.35,light rain
7,Rikitea,PF,-23.1203,-134.9692,77.58,72,3,14.32,clear sky
8,Zhangye,CN,38.9342,100.4517,46.54,39,100,19.89,overcast clouds
9,Rojhan,PK,28.6868,69.9534,79.16,16,0,9.73,clear sky
10,Thunder Bay,CA,48.4001,-89.3168,26.58,66,75,14.97,broken clouds
11,Hermanus,ZA,-34.4187,19.2345,56.8,69,55,15.08,broken clouds
12,Norman Wells,CA,65.282,-126.8329,14.04,48,40,12.66,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,46.51,81,20,19.57,light rain
14,Deputatskiy,RU,69.3,139.9,8.71,72,100,2.62,overcast clouds
15,Saint George,US,37.1041,-113.5841,77.63,16,0,9.22,clear sky
16,Talnakh,RU,69.4865,88.3972,23.31,94,100,10.58,light snow
17,Ziro,IN,27.6333,93.8333,45.34,93,74,1.05,broken clouds
18,Narsaq,GL,60.9167,-46.05,25.32,76,93,1.19,overcast clouds
19,Pyshma,RU,56.9523,63.2513,42.6,87,16,10.6,few clouds
20,Touros,BR,-5.1989,-35.4608,80.28,81,96,9.1,overcast clouds
21,Hofn,IS,64.2539,-15.2082,45.86,87,100,3.56,overcast clouds
22,Luderitz,NA,-26.6481,15.1594,57.85,67,0,13.58,clear sky
23,Kamenka,RU,51.3223,42.7678,43.68,74,89,6.55,overcast clouds
24,Bartica,GY,6.4,-58.6167,77.32,96,93,2.64,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,59.9,70,100,6.08,light rain
26,Kavaratti,IN,10.5669,72.642,83.32,72,93,2.53,overcast clouds
27,Dafeng,CN,23.4517,108.5881,58.93,90,100,8.93,light rain
28,Tasiilaq,GL,65.6145,-37.6368,36.66,98,100,12.17,moderate rain
29,Nioki,CD,-2.7167,17.6833,69.03,96,99,2.15,overcast clouds
30,Tessalit,ML,20.1986,1.0114,72.5,18,1,12.77,clear sky
31,Esfarayen,IR,37.0765,57.5101,44.26,67,23,4.97,few clouds
32,Raudeberg,NO,61.9875,5.1352,45.86,74,25,11.3,scattered clouds
33,Tumut,AU,-35.3,148.2167,73.38,33,5,4.32,clear sky
34,Konevo,RU,62.1215,39.3192,22.01,96,10,4.09,clear sky
35,Atuona,PF,-9.8,-139.0333,79.18,77,16,15.7,few clouds
36,Leningradskiy,RU,69.3833,178.4167,13.14,87,100,9.98,overcast clouds
37,Sur,OM,22.5667,59.5289,87.37,39,90,6.85,overcast clouds
38,Vaini,TO,-21.2,-175.2,84.36,70,20,10.36,few clouds
39,Pleasanton,US,37.6624,-121.8747,69.15,52,93,5.01,overcast clouds
40,Jamestown,US,42.097,-79.2353,53.53,41,100,8.05,overcast clouds
41,Arlit,NE,18.7369,7.3853,80.58,11,27,11.54,scattered clouds
42,Svetlogorsk,BY,52.6333,29.7333,42.39,92,100,13.47,light rain
43,Colac,AU,-38.3333,143.5833,68.16,48,1,4.94,clear sky
44,Castro,BR,-24.7911,-50.0119,50.2,62,0,3.87,clear sky
45,Yerbogachen,RU,61.2767,108.0108,26.64,77,100,4.45,overcast clouds
46,Merauke,ID,-8.4667,140.3333,83.3,76,87,11.39,overcast clouds
47,Port Hardy,CA,50.6996,-127.4199,48.38,49,75,10.36,broken clouds
48,Sitka,US,57.0531,-135.33,43.27,60,62,6.82,broken clouds
49,Mataura,NZ,-46.1927,168.8643,53.47,54,19,14.16,few clouds
50,Margate,GB,51.3813,1.3862,49.3,88,0,1.01,clear sky
51,Syasstroy,RU,60.1367,32.5691,29.91,90,67,10.94,broken clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,72.88,67,1,20.94,clear sky
53,Jaque,PA,7.5175,-78.1703,80.62,85,90,2.89,light rain
54,Les Trois-Ilets,MQ,14.539,-61.0361,78.71,78,75,16.11,broken clouds
55,Kalabo,ZM,-14.97,22.6814,68.77,81,100,3.49,overcast clouds
56,Kodiak,US,57.79,-152.4072,36.52,99,100,15.5,light rain
57,Ngama,TD,11.7833,17.1667,83.97,42,98,6.73,overcast clouds
58,Kruisfontein,ZA,-34.0033,24.7314,52.88,75,85,3.67,light rain
59,Atambua,ID,-9.1061,124.8925,82.04,68,60,1.25,broken clouds
60,Pionerskiy,RU,54.9508,20.2275,39.04,79,7,19.17,clear sky
61,Oktyabrskiy,RU,54.4815,53.471,33.84,83,100,11.18,overcast clouds
62,Mount Isa,AU,-20.7333,139.5,87.57,29,0,10.36,clear sky
63,Sabang,ID,5.8933,95.3214,82.85,71,100,0.76,overcast clouds
64,Ravar,IR,31.2656,56.8055,69.82,34,79,7.45,broken clouds
65,Busselton,AU,-33.65,115.3333,66.13,69,100,7.2,overcast clouds
66,Sorland,NO,67.667,12.6934,41.41,90,100,27.2,overcast clouds
67,Butaritari,KI,3.0707,172.7902,81.77,73,34,11.18,light rain
68,Hobart,AU,-42.8794,147.3294,62.02,66,75,8.05,broken clouds
69,Parana,AR,-31.732,-60.5238,59.56,93,0,8.43,clear sky
70,La Rioja,ES,42.25,-2.5,44.38,92,0,4.7,clear sky
71,Wagga Wagga,AU,-35.1167,147.3667,75.85,56,0,6.91,clear sky
72,Port Elizabeth,ZA,-33.918,25.5701,57.49,79,0,4.61,clear sky
73,Upernavik,GL,72.7868,-56.1549,-15.79,99,44,6.73,scattered clouds
74,Mount Gambier,AU,-37.8333,140.7667,60.71,100,100,4.61,overcast clouds
75,Chuy,UY,-33.6971,-53.4616,62.01,68,81,6.93,broken clouds
76,Avera,US,33.194,-82.5271,69.31,58,23,9.51,few clouds
77,Eldorado,BR,-23.7869,-54.2836,60.08,77,0,2.66,clear sky
78,Mitsamiouli,KM,-11.3847,43.2844,81.9,79,18,9.66,light rain
79,Sorong,ID,-0.8833,131.25,84.61,71,100,7.85,overcast clouds
80,Aloleng,PH,16.1307,119.7824,83.71,62,60,3.91,broken clouds
81,Laguna,US,38.421,-121.4238,71.06,39,0,11.5,clear sky
82,Puerto Ayora,EC,-0.7393,-90.3518,76.08,88,80,8.34,broken clouds
83,Coquimbo,CL,-29.9533,-71.3436,57.38,80,2,3.04,clear sky
84,Tiksi,RU,71.6872,128.8694,-0.11,98,99,3.22,overcast clouds
85,Bom Jardim,BR,-7.7958,-35.5872,71.42,96,98,2.75,overcast clouds
86,Orel-Izumrud,RU,43.4583,39.9244,41.02,93,0,0.0,clear sky
87,East London,ZA,-33.0153,27.9116,61.34,68,100,6.11,overcast clouds
88,Cabo San Lucas,MX,22.8909,-109.9124,79.61,49,100,8.99,overcast clouds
89,Cidreira,BR,-30.1811,-50.2056,64.29,67,100,6.17,overcast clouds
90,Markivka,UA,49.5229,39.5705,46.65,82,34,6.98,scattered clouds
91,Carnarvon,AU,-24.8667,113.6333,73.47,64,98,9.22,overcast clouds
92,Dhidhdhoo,MV,6.8833,73.1,84.33,69,90,8.08,overcast clouds
93,Yellowknife,CA,62.456,-114.3525,21.72,49,75,6.91,broken clouds
94,Mahebourg,MU,-20.4081,57.7,76.24,94,40,14.97,scattered clouds
95,Codrington,AU,-38.2667,141.9667,71.24,55,12,2.21,few clouds
96,Sijunjung,ID,-0.6876,100.9537,73.38,95,100,1.36,overcast clouds
97,Provideniya,RU,64.3833,-173.3,32.76,95,100,27.58,light snow
98,Flin Flon,CA,54.7682,-101.865,24.22,70,100,8.1,overcast clouds
99,Arona,ES,28.0996,-16.681,62.82,63,0,4.61,clear sky
100,Buala,SB,-8.145,159.5921,83.37,69,100,6.6,overcast clouds
101,Saskylakh,RU,71.9167,114.0833,-2.0,95,67,7.47,broken clouds
102,Jacqueville,CI,5.2052,-4.4146,80.55,82,98,6.58,light rain
103,Ler,SS,8.3018,30.1418,77.0,73,93,6.91,overcast clouds
104,Diffa,NE,13.3154,12.6113,83.86,39,16,5.73,few clouds
105,Berbera,SO,10.4396,45.0143,81.93,81,98,1.61,overcast clouds
106,Viisoara,RO,46.55,23.9167,51.58,80,93,6.93,overcast clouds
107,Haines Junction,CA,60.7522,-137.5108,37.35,38,100,11.5,overcast clouds
108,Sambava,MG,-14.2667,50.1667,77.0,87,82,11.36,moderate rain
109,Inuvik,CA,68.3499,-133.7218,2.16,55,0,10.36,clear sky
110,Pokhara,NP,28.2333,83.9833,72.48,22,0,6.64,clear sky
111,Mezen,RU,65.8522,44.24,24.98,96,98,4.9,overcast clouds
112,Hithadhoo,MV,-0.6,73.0833,82.51,69,35,2.35,scattered clouds
113,Bethel,US,41.3712,-73.414,58.35,43,0,8.99,clear sky
114,Coihaique,CL,-45.5752,-72.0662,52.41,76,40,3.44,scattered clouds
115,Bambous Virieux,MU,-20.3428,57.7575,76.21,94,40,14.97,light rain
116,Victoria,HK,22.2855,114.1577,75.18,76,95,23.0,overcast clouds
117,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,77,20,5.23,few clouds
118,Gamba,GA,-2.65,10.0,76.48,89,96,2.64,overcast clouds
119,Kahului,US,20.8947,-156.47,77.97,86,92,13.0,overcast clouds
120,Tshela,CD,-4.9833,12.9333,72.27,97,99,1.63,overcast clouds
121,Cherskiy,RU,68.75,161.3,20.28,93,100,6.73,overcast clouds
122,Qaanaaq,GL,77.484,-69.3632,-5.78,94,100,5.12,overcast clouds
123,Cape Town,ZA,-33.9258,18.4232,59.11,65,0,14.97,clear sky
124,Ilo,PE,-17.6394,-71.3375,65.95,78,62,8.59,broken clouds
125,Boa Vista,BR,2.8197,-60.6733,76.98,88,75,3.44,broken clouds
