City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Geraldton,AU,2022-04-14 15:08:13,-28.7667,114.6,64.81,94,0,8.05
1,Miri,MY,2022-04-14 15:11:47,4.4148,114.0089,78.58,84,23,2.66
2,Altagracia De Orituco,VE,2022-04-14 15:11:48,9.8601,-66.3814,89.08,40,27,8.55
3,Mitsamiouli,KM,2022-04-14 15:11:48,-11.3847,43.2844,82.87,76,13,9.08
4,Mahibadhoo,MV,2022-04-14 15:11:48,3.7833,72.9667,85.21,71,100,9.89
5,Neftcala,AZ,2022-04-14 15:11:49,39.3742,49.2472,56.97,61,87,12.06
6,Provideniya,RU,2022-04-14 15:11:49,64.3833,-173.3,29.43,96,100,8.97
7,Punta Arenas,CL,2022-04-14 15:11:49,-53.15,-70.9167,55.51,62,40,25.32
8,Sibolga,ID,2022-04-14 15:11:50,1.7427,98.7792,78.08,89,100,2.39
9,Lakatoro,VU,2022-04-14 15:11:50,-16.0999,167.4164,80.51,81,15,7.38
10,Mar Del Plata,AR,2022-04-14 15:11:51,-38.0023,-57.5575,60.82,70,20,9.22
11,Praya,CV,2022-04-14 15:08:02,14.9215,-23.5087,73.0,69,2,15.26
12,Yellowknife,CA,2022-04-14 15:11:51,62.456,-114.3525,8.29,80,82,8.01
13,Severo-Kurilsk,RU,2022-04-14 15:11:51,50.6789,156.125,29.25,73,87,26.73
14,Hobart,AU,2022-04-14 15:11:52,-42.8794,147.3294,60.66,78,100,9.22
15,Muros,ES,2022-04-14 15:11:52,42.7762,-9.0603,70.68,71,2,9.1
16,Chuy,UY,2022-04-14 15:11:53,-33.6971,-53.4616,67.48,41,1,11.39
17,Phan Thiet,VN,2022-04-14 15:08:54,10.9333,108.1,79.65,90,89,2.51
18,Murdochville,CA,2022-04-14 15:11:53,48.9583,-65.5006,41.29,55,41,4.65
19,Imbituba,BR,2022-04-14 15:11:53,-28.24,-48.6703,69.82,90,100,14.45
20,Hermanus,ZA,2022-04-14 15:11:54,-34.4187,19.2345,63.81,70,100,8.34
21,Paamiut,GL,2022-04-14 15:11:54,61.994,-49.6678,27.99,80,94,24.23
22,Tuktoyaktuk,CA,2022-04-14 15:11:55,69.4541,-133.0374,-14.24,100,100,5.68
23,Zhezkazgan,KZ,2022-04-14 15:11:55,47.8043,67.7144,62.58,29,0,8.95
24,Clyde River,CA,2022-04-14 15:11:55,70.4692,-68.5914,-0.58,78,32,8.88
25,Jamestown,US,2022-04-14 15:11:56,42.097,-79.2353,45.52,69,100,18.41
26,Vaini,TO,2022-04-14 15:11:56,-21.2,-175.2,77.16,100,20,10.36
27,Pakokku,MM,2022-04-14 15:11:56,21.3333,95.1,93.61,35,46,18.95
28,Saskylakh,RU,2022-04-14 15:11:57,71.9167,114.0833,-18.56,100,80,6.22
29,Sigli,ID,2022-04-14 15:11:57,5.3848,95.9609,81.16,81,92,6.04
30,Jorpeland,NO,2022-04-14 15:11:58,59.0225,6.0408,48.11,90,38,3.02
31,Luba,GQ,2022-04-14 15:11:58,3.4568,8.5547,81.21,77,74,6.17
32,Carnarvon,AU,2022-04-14 15:11:58,-24.8667,113.6333,75.27,73,0,12.66
